Stock Item Record ID,Description,Discountable,UPC Code,Price,Cost,Taxable,Price Type,Register Data Status,Quantity on Hand,Inventory Method,Assigned Cost,Order Trigger,Recommended Order,Department,Category,Supplier,Supplier Code,Unit,Tax Group
,SJGE LACE LACES RED RED OSFA  ,TRUE,699170353889,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES ORG ORG OSFA  ,TRUE,699170353896,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 RED SM      ,TRUE,699170353957,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 RED MD      ,TRUE,699170353964,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 RED LG      ,TRUE,699170353971,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 RED XL      ,TRUE,699170353988,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 RED 2XL     ,TRUE,699170353995,20.00,8.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 GRY SM      ,TRUE,699170354008,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 GRY MD      ,TRUE,699170354015,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 GRY LG      ,TRUE,699170354022,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 GRY XL      ,TRUE,699170354039,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 GRY 2XL     ,TRUE,699170354046,20.00,8.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 LBL SM      ,TRUE,699170354053,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 LBL MD      ,TRUE,699170354060,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 LBL LG      ,TRUE,699170354077,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 LBL XL      ,TRUE,699170354084,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 LBL 2XL     ,TRUE,699170354091,20.00,8.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 PRP SM      ,TRUE,699170354107,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 PRP MD      ,TRUE,699170354114,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 PRP LG      ,TRUE,699170354121,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LSS DESIGN 1 PRP XL      ,TRUE,699170354138,20.00,6.90,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
